wordform	lemma	msd
Agbabom	Agbaba	Npmsi
Agbabi	Agbaba	Npmsl
Agbaba	Agbaba	Npmsn
Agbaba	Agbaba	Npmsv
Ajdarić	Ajdarić	Npfpa
Ajdarić	Ajdarić	Npfpd
Ajdarić	Ajdarić	Npfpg
Ajdarić	Ajdarić	Npfpi
Ajdarić	Ajdarić	Npfpl
Ajdarić	Ajdarić	Npfpn
Ajdarić	Ajdarić	Npfpv
Ajdarić	Ajdarić	Npfsa
Ajdarić	Ajdarić	Npfsd
Ajdarić	Ajdarić	Npfsg
Ajdarić	Ajdarić	Npfsi
Ajdarić	Ajdarić	Npfsl
Ajdarić	Ajdarić	Npfsn
Ajdarić	Ajdarić	Npfsv
Ajdariće	Ajdarić	Npmpa
Ajdarićima	Ajdarić	Npmpd
Ajdarića	Ajdarić	Npmpg
Ajdarićima	Ajdarić	Npmpi
Ajdarićima	Ajdarić	Npmpl
Ajdarići	Ajdarić	Npmpn
Ajdarići	Ajdarić	Npmpv
Ajdarića	Ajdarić	Npmsay
Ajdariću	Ajdarić	Npmsd
Ajdarića	Ajdarić	Npmsg
Ajdarićem	Ajdarić	Npmsi
Ajdariću	Ajdarić	Npmsl
Ajdarić	Ajdarić	Npmsn
Ajdariću	Ajdarić	Npmsv
Ajder	Ajder	Npfpa
Ajder	Ajder	Npfpd
Ajder	Ajder	Npfpg
Ajder	Ajder	Npfpi
Ajder	Ajder	Npfpl
Ajder	Ajder	Npfpn
Ajder	Ajder	Npfpv
Ajder	Ajder	Npfsa
Ajder	Ajder	Npfsd
Ajder	Ajder	Npfsg
Ajder	Ajder	Npfsi
Ajder	Ajder	Npfsl
Ajder	Ajder	Npfsn
Ajder	Ajder	Npfsv
Ajdere	Ajder	Npmpa
Ajderima	Ajder	Npmpd
Ajdera	Ajder	Npmpg
Ajderima	Ajder	Npmpi
Ajderima	Ajder	Npmpl
Ajderi	Ajder	Npmpn
Ajderi	Ajder	Npmpv
Ajdera	Ajder	Npmsay
Ajderu	Ajder	Npmsd
Ajdera	Ajder	Npmsg
Ajderem	Ajder	Npmsi
Ajderu	Ajder	Npmsl
Ajder	Ajder	Npmsn
Ajderu	Ajder	Npmsv
Ajdin	Ajdin	Npfpa
Ajdin	Ajdin	Npfpd
Ajdin	Ajdin	Npfpg
Ajdin	Ajdin	Npfpi
Ajdin	Ajdin	Npfpl
Ajdin	Ajdin	Npfpn
Ajdin	Ajdin	Npfpv
Ajdin	Ajdin	Npfsa
Ajdin	Ajdin	Npfsd
Ajdin	Ajdin	Npfsg
Ajdin	Ajdin	Npfsi
Ajdin	Ajdin	Npfsl
Ajdin	Ajdin	Npfsn
Ajdin	Ajdin	Npfsv
Ajdine	Ajdin	Npmpa
Ajdinima	Ajdin	Npmpd
Ajdina	Ajdin	Npmpg
Ajdinima	Ajdin	Npmpi
Ajdinima	Ajdin	Npmpl
Ajdini	Ajdin	Npmpn
Ajdini	Ajdin	Npmpv
Ajdina	Ajdin	Npmsay
Ajdinu	Ajdin	Npmsd
Ajdina	Ajdin	Npmsg
Ajdinom	Ajdin	Npmsi
Ajdinu	Ajdin	Npmsl
Ajdin	Ajdin	Npmsn
Ajdine	Ajdin	Npmsv
Ajdinović	Ajdinović	Npfpa
Ajdinović	Ajdinović	Npfpd
Ajdinović	Ajdinović	Npfpg
Ajdinović	Ajdinović	Npfpi
Ajdinović	Ajdinović	Npfpl
Ajdinović	Ajdinović	Npfpn
Ajdinović	Ajdinović	Npfpv
Ajdinović	Ajdinović	Npfsa
Ajdinović	Ajdinović	Npfsd
Ajdinović	Ajdinović	Npfsg
Ajdinović	Ajdinović	Npfsi
Ajdinović	Ajdinović	Npfsl
Ajdinović	Ajdinović	Npfsn
Ajdinović	Ajdinović	Npfsv
Ajdinoviće	Ajdinović	Npmpa
Ajdinovićima	Ajdinović	Npmpd
Ajdinovića	Ajdinović	Npmpg
